Venue,Track,Distance,Draw,Wins,Starts,Places,WinRate
沙田,Turf,2000,4,2,20,8,10.0
沙田,Turf,2000,5,1,20,3,5.0
沙田,Turf,2000,6,1,20,8,5.0
沙田,Turf,2000,7,1,20,4,5.0
沙田,Turf,2000,8,2,20,5,10.0
沙田,Turf,2000,9,2,20,2,10.0
沙田,Turf,2400,1,0,3,0,0.0
沙田,Turf,2400,10,0,2,0,0.0
沙田,Turf,2400,11,0,1,0,0.0
沙田,Turf,2400,12,0,1,0,0.0
沙田,Turf,2400,13,0,1,1,0.0
沙田,Turf,2400,2,1,3,1,33.3
沙田,Turf,2400,3,1,3,2,33.3
沙田,Turf,2400,4,0,3,1,0.0
沙田,Turf,2400,5,1,3,1,33.3
沙田,Turf,2400,6,0,3,1,0.0
沙田,Turf,2400,7,0,2,1,0.0
沙田,Turf,2400,8,0,2,1,0.0
沙田,Turf,2400,9,0,2,0,0.0
跑馬地,Turf,1000,1,5,38,12,13.2
跑馬地,Turf,1000,10,3,34,8,8.8
跑馬地,Turf,1000,11,2,31,4,6.5
跑馬地,Turf,1000,12,0,29,5,0.0
跑馬地,Turf,1000,2,3,38,9,7.9
跑馬地,Turf,1000,3,5,38,13,13.2
跑馬地,Turf,1000,4,4,38,15,10.5
跑馬地,Turf,1000,5,3,37,10,8.1
跑馬地,Turf,1000,6,4,37,7,10.8
跑馬地,Turf,1000,7,4,38,10,10.5
跑馬地,Turf,1000,8,5,37,13,13.5
跑馬地,Turf,1000,9,0,36,8,0.0
跑馬地,Turf,1200,1,15,150,53,10.0
跑馬地,Turf,1200,10,8,142,22,5.6
跑馬地,Turf,1200,11,4,137,21,2.9
跑馬地,Turf,1200,12,4,129,21,3.1
跑馬地,Turf,1200,2,19,150,54,12.7
跑馬地,Turf,1200,3,10,148,40,6.8
跑馬地,Turf,1200,4,21,150,49,14.0
跑馬地,Turf,1200,5,22,150,42,14.7
跑馬地,Turf,1200,6,15,149,45,10.1
跑馬地,Turf,1200,7,11,149,37,7.4
跑馬地,Turf,1200,8,9,149,33,6.0
跑馬地,Turf,1200,9,12,147,34,8.2
跑馬地,Turf,1650,1,11,98,32,11.2
跑馬地,Turf,1650,10,7,92,19,7.6
跑馬地,Turf,1650,11,4,87,15,4.6
跑馬地,Turf,1650,12,6,79,13,7.6
跑馬地,Turf,1650,2,11,99,30,11.1
跑馬地,Turf,1650,3,10,98,37,10.2
跑馬地,Turf,1650,4,7,99,24,7.1
跑馬地,Turf,1650,5,8,99,27,8.1
跑馬地,Turf,1650,6,7,98,22,7.1
跑馬地,Turf,1650,7,12,98,33,12.2
跑馬地,Turf,1650,8,9,98,24,9.2
跑馬地,Turf,1650,9,7,96,21,7.3
跑馬地,Turf,1800,1,1,28,7,3.6
跑馬地,Turf,1800,10,3,26,11,11.5
跑馬地,Turf,1800,11,2,26,8,7.7
跑馬地,Turf,1800,12,1,23,4,4.3
跑馬地,Turf,1800,2,1,28,6,3.6
跑馬地,Turf,1800,3,3,28,9,10.7
跑馬地,Turf,1800,4,1,28,9,3.6
跑馬地,Turf,1800,5,2,28,4,7.1
跑馬地,Turf,1800,6,2,28,7,7.1
跑馬地,Turf,1800,7,5,28,8,17.9
跑馬地,Turf,1800,8,2,28,5,7.1
跑馬地,Turf,1800,9,5,28,6,17.9
跑馬地,Turf,2200,1,3,11,4,27.3
跑馬地,Turf,2200,10,1,8,1,12.5
跑馬地,Turf,2200,11,0,6,1,0.0
跑馬地,Turf,2200,12,0,4,1,0.0
跑馬地,Turf,2200,2,0,11,1,0.0
跑馬地,Turf,2200,3,2,11,6,18.2
跑馬地,Turf,2200,4,0,11,3,0.0
跑馬地,Turf,2200,5,0,11,1,0.0
跑馬地,Turf,2200,6,1,11,5,9.1
跑馬地,Turf,2200,7,2,11,5,18.2
跑馬地,Turf,2200,8,1,11,3,9.1
跑馬地,Turf,2200,9,1,10,3,10.0
