Horse,Wins,Starts,Places,AvgOdds,WinRate
浪漫勇士(E486),2,2,2,1.1,100.0
小鳥天堂(K246),2,4,3,2.8,50.0
信心星(J161),2,14,8,8.3,14.3
顏色之皇(K227),2,6,4,4.5,33.3
極速滿貫(G277),2,16,3,45.6,12.5
實力哥(H228),2,4,3,10.4,50.0
智智多寶(J024),2,4,2,3.7,50.0
川河首駒(G333),2,18,5,26.0,11.1
川河型駒(J080),2,14,4,8.7,14.3
寶成智星(J135),2,13,5,33.5,15.4
江南勇士(H472),2,11,4,20.6,18.2
木火龍駒(H292),2,10,3,23.4,20.0
寶進(K249),2,6,4,8.6,33.3
得意佳作(G125),2,11,4,17.3,18.2
非凡豪傑(J445),2,9,4,16.5,22.2
光輝所願(H373),2,11,6,10.2,18.2
但求開心(J420),2,11,8,7.0,18.2
你知我得(H278),2,11,5,12.9,18.2
帥帥友福(J418),2,9,4,12.3,22.2
有你有我(H057),2,10,3,20.8,20.0
暴風之子(K176),2,10,2,45.9,20.0
智跑得(J330),2,14,5,16.3,14.3
星火燎原(J150),2,17,9,10.7,11.8
幸運有您(E356),2,10,3,62.4,20.0
幸運星球(H235),2,10,3,19.3,20.0
風再起時(J534),2,14,4,25.2,14.3
日日獎(H283),2,11,3,28.5,18.2
人和家興(E061),2,18,6,28.0,11.1
仁仁有餘(J421),2,9,4,10.0,22.2
時時精準(K037),2,11,4,36.7,18.2
人和家盛(C531),2,10,3,36.0,20.0
平海之星(H344),2,7,2,28.3,28.6
有財有勢(H037),2,14,3,15.4,14.3
幸運多彩(K146),2,4,3,36.2,50.0
香港神駒(J266),2,13,6,22.8,15.4
飲杯(J219),2,14,7,7.3,14.3
飛騰騅(E494),2,9,3,14.2,22.2
旋風傳奇(J152),2,12,2,23.7,16.7
春風萬里(H383),2,6,2,9.3,33.3
妙玲瓏(H068),2,10,4,21.6,20.0
盈益善(H431),2,10,7,8.6,20.0
錶之多多(H476),2,11,4,6.2,18.2
天賜喜(K026),2,3,3,10.1,66.7
皮具大師(H034),2,12,4,13.9,16.7
瑪瑙(G306),2,13,3,49.7,15.4
環球英雄(J413),2,13,3,24.6,15.4
玩笑(K014),2,9,5,8.4,22.2
瑤瑤日上(J423),2,16,5,29.5,12.5
渾身解數(K291),2,3,2,3.5,66.7
添開心(H203),2,18,4,10.6,11.1
皇仁歡星(J278),2,10,4,11.5,20.0
金駿星(H470),2,9,2,10.9,22.2
添喜運(J218),2,15,3,16.7,13.3
營造組裝(H127),2,6,2,19.4,33.3
精算暴雪(H368),2,9,5,5.5,22.2
大力猴王(G307),2,9,3,18.3,22.2
遨遊武士(J026),2,10,5,7.2,20.0
遙遙領先(J263),2,10,7,16.7,20.0
超超比(H109),2,4,2,4.8,50.0
大浪圖田(J197),2,11,5,15.0,18.2
辣得金(J087),2,15,6,19.1,13.3
輝煌精英(H311),2,12,6,17.5,16.7
知足常樂(G448),2,7,2,46.6,28.6
奮鬥輝煌(J236),2,13,5,16.3,15.4
加州活力(J131),2,14,4,12.0,14.3
天天同樂(J316),2,10,7,4.8,20.0
逐步贏(G420),2,10,3,13.1,20.0
逆市奇爸(E321),2,13,4,32.8,15.4
金創福威(K002),2,13,4,22.6,15.4
祥勝力駒(J181),2,13,2,34.8,15.4
好精神(J155),2,10,4,10.1,20.0
天天得樂(E294),2,9,3,14.1,22.2
運來伍寶(J153),2,14,6,20.2,14.3
連連有盈(G065),2,14,6,12.7,14.3
閃光燈(J500),2,7,3,9.9,28.6
冠寶駒(D359),2,17,6,20.1,11.8
金發盛世(E490),2,13,2,30.3,15.4
金牌活力(J402),2,14,5,32.6,14.3
都靈勇士(G150),2,12,2,22.2,16.7
鄉村樂韻(H436),2,15,6,9.4,13.3
天足貓(G166),2,15,5,24.0,13.3
勇霸龍(J237),2,16,8,10.3,12.5
勇冠群英(H177),2,8,6,8.7,25.0
紫荊歡呼(J139),2,16,5,12.6,12.5
南區之星(K153),2,7,4,6.5,28.6
糖不甩(H394),2,12,6,18.3,16.7
胡椒軍曹(E432),2,16,2,55.0,12.5
超強六十(J071),2,11,5,12.4,18.2
北地烈馬(J488),2,13,4,24.1,15.4
包裝猛將(J284),2,6,2,7.2,33.3
喜尊龍(J481),2,7,4,15.8,28.6
喜報圍家(G437),2,6,3,6.9,33.3
哈羅威(J280),2,13,9,6.6,15.4
和平波(J245),2,13,7,11.3,15.4
喜至寶(H262),2,10,4,9.4,20.0
翠紅(K173),2,6,3,9.6,33.3
紅海勁(H207),2,11,5,11.8,18.2
精英雄心(J136),2,10,6,10.2,20.0
自強不息(H337),2,12,4,24.2,16.7
舞林密碼(G365),2,14,6,15.2,14.3
良駒好友(H454),2,12,2,16.9,16.7
耀寶(J437),2,8,3,18.2,25.0
千杯敬典(H321),2,11,3,18.0,18.2
卓越蒨鋒(J231),2,13,5,17.2,15.4
華麗再勝(J008),2,13,6,14.2,15.4
英勇快車(J244),2,16,7,13.0,12.5
合夥奔馳(H408),2,13,6,42.5,15.4
超加加(J486),2,8,5,10.8,25.0
超力量(J285),2,4,2,4.6,50.0
超勁火力(J184),2,14,2,17.1,14.3
快路(H219),2,14,5,13.0,14.3
不可擋(E336),2,9,3,6.6,22.2
龍文鞭影(K226),2,7,3,16.6,28.6
手錶之星(H483),2,12,5,9.2,16.7
我做到(H381),2,9,4,9.4,22.2
手機錶霸(H485),2,10,6,5.2,20.0
黑桃火箭(G170),2,10,5,13.9,20.0
一定超(K298),2,5,4,4.4,40.0
魅影戈飛(K183),1,5,3,5.6,20.0
一先生(G227),1,10,2,38.5,10.0
一定掂(J225),1,12,5,9.8,8.3
一支箭(H276),1,9,5,10.6,11.1
鴻圖新星(J323),1,12,2,15.0,8.3
魯班精神(J233),1,13,5,7.2,7.7
愛意龍(J038),1,5,1,22.2,20.0
戀愛狂(K118),1,7,2,24.4,14.3
手到齊來(J531),1,17,3,52.0,5.9
扶搖勢勁(K236),1,3,2,2.7,33.3
星雲浩騰(G372),1,10,5,14.2,10.0
馬特峰(H253),1,9,2,13.2,11.1
飛鷹翱翔(H117),1,8,4,10.6,12.5
飛馬將軍(G189),1,8,1,18.8,12.5
新意馬(K094),1,8,3,9.7,12.5
新幹線(H277),1,12,4,20.0,8.3
新力好(J118),1,9,4,7.7,11.1
新力(H325),1,13,6,9.1,7.7
文明福星(J315),1,11,2,33.7,9.1
撼天鐵翼(H162),1,8,3,12.7,12.5
星運皇爵(H489),1,9,3,10.6,11.1
星月飛雲(K363),1,3,1,16.3,33.3
星價(K093),1,10,4,37.6,10.0
昇瀧駒(J141),1,12,3,30.3,8.3
旌鷹(E346),1,13,2,14.3,7.7
快搏(E434),1,15,2,23.1,6.7
嘉應勇士(H028),1,6,2,16.5,16.7
嘉冠王(K116),1,4,1,5.0,25.0
君子傳承(K385),1,4,3,19.3,25.0
同祥和順(J185),1,12,7,8.1,8.3
同樣美麗(H334),1,15,6,12.5,6.7
同心同樂(K081),1,10,3,19.8,10.0
合夥飛馳(K342),1,3,2,4.9,33.3
舞林寶典(J060),1,3,1,3.5,33.3
臻至辰(K238),1,2,1,23.0,50.0
至旺財(H273),1,13,4,29.9,7.7
至尊瑰寶(K258),1,5,1,16.7,20.0
友瑩亮(K400),1,2,1,10.3,50.0
友愛心得(J537),1,11,3,11.5,9.1
又龍串鳳(E461),1,14,6,30.3,7.1
博望坡(H265),1,13,1,16.4,7.7
論文(H111),1,12,3,16.7,8.3
喜勝威龍(G395),1,8,4,9.8,12.5
唯美主義(H289),1,11,5,15.5,9.1
赤馬雄風(E028),1,17,4,23.8,5.9
贏科超影(A164),1,5,3,9.8,20.0
贏得自然(J365),1,11,2,38.1,9.1
賢心星(J159),1,6,1,32.8,16.7
豐辰(K004),1,12,4,80.4,8.3
豐盛多彩(G301),1,10,3,18.2,10.0
豐功偉績(K480),1,2,1,33.0,50.0
可愛新星(H291),1,10,3,13.7,10.0
友瑩仁(J180),1,10,1,10.3,10.0
超旺財(J194),1,13,4,15.6,7.7
包裝明駒(J470),1,10,3,8.7,10.0
君智盛(J213),1,13,3,16.9,7.7
自力更生(G209),1,12,3,35.2,8.3
肥仔精神(K110),1,13,1,33.0,7.7
綫路光驊(H487),1,11,4,24.0,9.1
綠野飛馳(K245),1,4,4,1.8,25.0
紫荊拼搏(K031),1,6,4,4.4,16.7
喵喵怪(J487),1,9,2,15.0,11.1
喜蓮勇略(J207),1,6,1,48.6,16.7
喜蓮勇感(H215),1,13,6,17.7,7.7
美麗老撾(J478),1,6,2,12.1,16.7
美麗星晨(K491),1,2,2,4.8,50.0
美麗奔馳(G231),1,5,1,40.6,20.0
美麗多盈(G477),1,12,1,55.9,8.3
美麗同享(E058),1,12,3,29.3,8.3
美麗之光(J474),1,4,2,24.7,25.0
型到爆(H011),1,9,2,19.7,11.1
國大合(G322),1,8,1,23.9,12.5
四季醒(H223),1,13,2,40.9,7.7
喜勝駿駒(J090),1,5,2,20.2,20.0
縱橫天下(G123),1,11,2,20.1,9.1
維港激流(J393),1,9,3,40.3,11.1
包裝創新(K085),1,8,3,38.7,12.5
包裝伯樂(H246),1,9,4,8.0,11.1
勝意龍(E253),1,4,2,9.9,25.0
勝意(J203),1,15,7,5.5,6.7
勝多多(H407),1,13,6,17.4,7.7
博愛先鋒(G465),1,11,5,14.2,9.1
南區旺(H178),1,11,5,11.0,9.1
勇闖高峰(K237),1,3,2,10.8,33.3
勇威神駒(G471),1,10,4,23.0,10.0
辰速密碼(J430),1,12,1,30.0,8.3
辣得駕勢(G203),1,7,2,14.6,14.3
綫路達飛(J501),1,10,2,22.7,10.0
綫路神驊(G078),1,11,3,12.4,9.1
綫路盈樂(J506),1,6,5,5.6,16.7
符號(E194),1,8,2,20.3,12.5
笑喜喜(K136),1,5,2,4.7,20.0
天外迎天(J490),1,12,5,16.1,8.3
堅闖(J015),1,14,7,20.7,7.1
紅鬃烈馬(D087),1,10,2,22.4,10.0
紅運帝王(H115),1,9,2,44.4,11.1
紅衣醒目(K184),1,5,3,6.4,20.0
紅海風帆(H347),1,7,1,8.1,14.3
紅愛舍(H110),1,13,1,22.7,7.7
精選威(G088),1,3,2,8.6,33.3
大將鵰神(J378),1,8,1,65.1,12.5
大將(J074),1,9,2,6.3,11.1
大學生(H116),1,13,4,23.8,7.7
囍眼光(J261),1,13,4,8.1,7.7
嘉應駿馬(J439),1,9,3,8.8,11.1
嘉應巨昇(J091),1,9,3,12.2,11.1
競駿天下(G272),1,15,4,22.3,6.7
競駿光輝(H135),1,9,1,37.2,11.1
競駿先鋒(J400),1,14,4,16.8,7.1
競馬一心(J436),1,11,4,27.9,9.1
穿雲達月(K324),1,4,1,11.1,25.0
大千眼界(G424),1,2,1,6.4,50.0
大千氣象(H324),1,9,1,25.2,11.1
大利好運(H234),1,13,5,8.2,7.7
精算特殊(H354),1,13,5,10.1,7.7
精算激流(J228),1,8,1,20.5,12.5
精益大師(H134),1,14,6,15.8,7.1
精明選擇(J146),1,16,5,11.3,6.2
精彩駿將(J417),1,7,3,6.9,14.3
精彩動力(H120),1,8,3,17.1,12.5
米奇(K082),1,14,2,10.8,7.1
管之友(E496),1,11,6,13.3,9.1
大老撾(J435),1,4,1,23.5,25.0
大眾福星(K172),1,5,2,11.2,20.0
大番薯(J383),1,9,1,27.9,11.1
競駿非凡(J401),1,12,5,11.5,8.3
輕功猛男(J513),1,12,2,51.3,8.3
越野大師(J283),1,6,2,19.5,16.7
超風速(J205),1,10,3,15.3,10.0
超霸勝(H069),1,12,5,11.8,8.3
超眼光(J258),1,6,2,13.6,16.7
遠飛標槍(K923),1,1,1,12.0,100.0
運高八斗(G204),1,11,5,10.5,9.1
勁速威龍(H380),1,4,2,34.2,25.0
勁好運(H481),1,13,5,6.8,7.7
勁大威猛(H450),1,9,3,14.7,11.1
競駿輝煌(J195),1,13,5,6.7,7.7
競駿皇者(K011),1,3,1,18.1,33.3
盈好威楓(K131),1,9,5,24.1,11.1
好運寶馬(E157),1,12,2,27.7,8.3
天星(K234),1,5,3,7.6,20.0
天將龍駒(K129),1,9,4,15.6,11.1
天天耍樂(J232),1,10,4,5.5,10.0
穿甲戰鷹(J039),1,12,6,8.2,8.3
運來勇士(H229),1,13,3,16.0,7.7
連連幸運(K010),1,14,6,19.9,7.1
前風(E281),1,18,5,16.3,5.6
金德義(H106),1,11,3,15.3,9.1
金匯昇昇(H242),1,12,5,17.4,8.3
禪勝輝煌(H212),1,12,6,13.4,8.3
神駒馬靈(J162),1,17,7,5.4,5.9
神煞金剛(H202),1,7,2,15.9,14.3
知道長勝(H366),1,13,3,28.5,7.7
天下寵兒(J359),1,13,6,15.9,7.7
瑰麗人生(H044),1,10,1,25.9,10.0
嫡愛心(H093),1,6,4,27.6,16.7
威武年代(J451),1,11,4,20.2,9.1
奔放(K156),1,9,3,14.3,11.1
真僥倖(K270),1,3,2,27.3,33.3
醒目勇駒(B456),1,8,1,31.4,12.5
醒目先駒(K006),1,7,3,31.3,14.3
都靈福星(H165),1,11,2,20.2,9.1
都靈星球(J209),1,6,1,21.2,16.7
還看今朝(H009),1,7,2,14.7,14.3
遨遊波士(K321),1,3,1,11.7,33.3
銳高(J375),1,10,2,53.7,10.0
銀河勇士(J238),1,8,2,39.0,12.5
銀亮奔騰(K057),1,7,2,16.6,14.3
直線力山(G435),1,8,1,39.2,12.5
盈妍威楓(J300),1,10,4,15.3,10.0
皇金風速(E448),1,11,3,14.3,9.1
皇帝英明(G264),1,13,3,23.4,7.7
百賀飛駒(K021),1,7,4,15.4,14.3
百勝威龍(H453),1,3,1,75.7,33.3
發財秘笈(G303),1,7,2,22.4,14.3
鈁糖武士(G016),1,14,3,25.7,7.1
金陽飛駒(J168),1,6,2,13.5,16.7
金金小子(K180),1,2,2,6.4,50.0
金運來(H159),1,13,4,26.3,7.7
加州星馳(J123),1,7,1,44.4,14.3
加州得力(G451),1,14,3,16.5,7.1
閃耀威龍(G427),1,10,4,14.4,10.0
八駿笑昇(H296),1,12,3,18.5,8.3
八駿福昇(K086),1,6,2,80.1,16.7
八駿巨昇(H092),1,16,3,21.4,6.2
生生勝利(J216),1,8,2,19.0,12.5
威威父子(H419),1,11,4,33.1,9.1
威力飛彈(G210),1,6,1,34.7,16.7
始終如一(J392),1,10,1,81.5,10.0
獨角獸(G466),1,10,2,13.6,10.0
獎星(H087),1,16,6,14.8,6.2
狀元及第(E392),1,14,4,28.4,7.1
爆笑(J079),1,13,6,17.7,7.7
燭光晚餐(J468),1,11,3,20.6,9.1
燈胆將軍(K218),1,2,2,42.6,50.0
熾烈神駒(J157),1,14,6,14.6,7.1
焦點(H173),1,11,4,12.1,9.1
無限美麗(H377),1,12,3,12.1,8.3
定數(H438),1,7,3,22.4,14.3
安騁(H452),1,10,3,10.2,10.0
安都(K033),1,12,2,13.7,8.3
好節拍(J519),1,7,4,54.5,14.3
烈火駿馬(G339),1,9,2,15.2,11.1
炯炯有神(H341),1,3,1,10.2,33.3
火神神樂(H384),1,8,4,7.0,12.5
全神貫注(H465),1,12,1,21.5,8.3
閃亮老撾(J322),1,12,1,48.3,8.3
鑽石星空(J275),1,9,2,15.9,11.1
鐵金剛(H433),1,16,7,7.5,6.2
鍵琴高奏(K913),1,2,2,8.8,50.0
錶之銀河(H399),1,7,4,3.7,14.3
光年程祥(K204),1,2,2,26.8,50.0
雪勇神駒(G467),1,13,3,14.1,7.7
火悟空(K335),1,2,1,4.3,50.0
瀧澤飛駒(H339),1,14,3,12.7,7.1
澳華威威(E144),1,5,2,14.4,20.0
潮州精神(H175),1,12,2,16.1,8.3
漣心星(J095),1,11,3,10.7,9.1
樂加福(G244),1,9,3,19.6,11.1
極速贏(J040),1,12,5,6.9,8.3
極速之星(G181),1,2,1,9.0,50.0
極速之子(H332),1,14,2,19.8,7.1
深心星(K041),1,6,3,40.7,16.7
海藍寶(H343),1,7,2,9.7,14.3
實現夢想(H308),1,8,1,35.6,12.5
富心星(K125),1,10,2,59.0,10.0
富國兄弟(J396),1,8,3,10.1,12.5
家樂龍駒(H396),1,8,2,7.6,12.5
浪漫老撾(G476),1,16,4,22.9,6.2
河好運(J320),1,11,5,5.6,9.1
小飛俠(J224),1,6,2,7.0,16.7
小霸王(G265),1,13,1,45.0,7.7
安可(K252),1,8,3,12.9,12.5
宇宙動力(H156),1,13,4,49.3,7.7
隼閣(J056),1,14,1,17.8,7.1
陽光寶貝(J171),1,16,2,37.6,6.2
關鍵所在(K154),1,13,1,55.7,7.7
開心樂園(J311),1,13,3,9.8,7.7
開心宇宙(J533),1,13,3,40.3,7.7
開心勇駒(H451),1,10,2,34.9,10.0
開心五月(K016),1,13,3,40.5,7.7
健康之星(G374),1,7,1,48.6,14.3
做好自己(J444),1,10,3,32.6,10.0
假面騎士(K169),1,7,2,11.1,14.3
保羅傳奇(J507),1,6,4,6.4,16.7
領航財子(J305),1,10,2,45.1,10.0
正氣青驅(H059),1,14,6,19.3,7.1
歡樂老撾(H432),1,10,1,21.5,10.0
機械騎士(H464),1,13,4,11.5,7.7
樂捉鳥(G470),1,8,2,24.0,12.5
會長之寶(J295),1,10,3,49.5,10.0
廚神(K264),1,11,2,52.2,9.1
巴閉仔(H298),1,5,1,40.2,20.0
巴薩諾瓦(G221),1,4,2,7.6,25.0
巴基之勝(J363),1,6,3,5.9,16.7
巧眼光(J542),1,10,3,8.7,10.0
川河帥駒(K127),1,8,2,9.0,12.5
架勢奇爸(G312),1,14,7,14.6,7.1
東方飛影(E467),1,14,5,23.3,7.1
木火同明(C460),1,10,2,29.1,10.0
木火兄弟(G115),1,10,2,24.9,10.0
朗日雪峰(J187),1,12,4,9.3,8.3
有鴻利(E184),1,15,3,34.2,6.7
永勝金駒(H471),1,12,3,10.6,8.3
水晶酒杯(H081),1,6,2,38.7,16.7
比特星(J362),1,13,2,55.4,7.7
時尚風趣(J164),1,11,3,10.6,9.1
幸運同行(J331),1,15,3,24.7,6.7
幸運二十(K392),1,1,1,61.0,100.0
年年友福(G463),1,14,6,15.9,7.1
常常感恩(J065),1,10,2,15.6,10.0
領航天子(J494),1,8,1,26.0,12.5
領航傳祺(G126),1,11,3,16.0,9.1
電訊驕陽(J332),1,15,4,23.1,6.7
電訊巴打(D482),1,12,4,42.5,8.3
光明傳承(J215),1,14,1,36.6,7.1
飛躍凱旋(G250),1,8,2,21.5,12.5
佳運發(E435),1,14,3,35.4,7.1
佳福駒(G230),1,10,1,69.7,10.0
佳景臨門(H154),1,4,1,26.8,25.0
伶俐驫駒(H108),1,12,4,8.6,8.3
有派頭(J093),1,10,3,11.0,10.0
幸運芙蓉(J047),1,7,5,4.4,14.3
智取神駒(H474),1,11,3,26.2,9.1
智勝龍(G475),1,4,2,9.5,25.0
仁心星(J092),1,6,2,8.1,16.7
飈誌(J504),1,11,1,40.6,9.1
風雲武士(J027),1,15,6,13.8,6.7
風雲(J371),1,10,2,47.1,10.0
風起雲湧(J183),1,13,4,21.3,7.7
傑出漢子(G455),1,10,2,46.2,10.0
健康快車(H439),1,13,7,5.5,7.7
健康心靈(G249),1,6,3,15.7,16.7
亨驥(K294),1,4,1,17.2,25.0
亞福得寶(J242),1,8,1,44.0,12.5
五福星(J099),1,11,5,7.6,9.1
馬鳳凰(J516),1,5,2,8.0,20.0
時時歡聲(K350),1,2,1,8.8,50.0
龍城精將(K203),1,6,3,17.8,16.7
久久為軍(K231),1,5,1,53.0,20.0
久久為攻(E472),1,14,4,30.6,7.1
久久為尊(J053),1,16,5,10.6,6.2
中華盛景(E379),1,14,1,31.0,7.1
龍船快(G229),1,9,3,23.8,11.1
中環精英(J042),1,13,5,9.9,7.7
龍城強將(H095),1,8,3,11.1,12.5
龍之輝(H410),1,12,3,21.6,8.3
鼓浪飛凡(H018),1,12,3,35.2,8.3
上市魅力(H196),1,11,4,7.1,9.1
三軍勇將(J360),1,13,2,21.8,7.7
三代同心(H065),1,16,6,12.6,6.2
彭玥(J447),1,13,4,20.6,7.7
弦力寶(K317),1,4,1,26.6,25.0
時尚歡欣(H041),1,14,3,16.2,7.1
話你知(G392),1,8,3,6.2,12.5
蓮冠皇(K186),1,3,1,25.3,33.3
荷花之星(J016),1,10,1,31.1,10.0
荃程路通(E403),1,7,1,15.1,14.3
英雄豪傑(G207),1,3,2,20.0,33.3
英雄戰歌(J089),1,5,4,7.4,20.0
北海盜(H233),1,13,6,20.8,7.7
不勞而獲(K377),1,4,3,4.1,25.0
驕陽明駒(H302),1,8,8,12.8,12.5
駿馬之曲(K436),1,1,1,1.9,100.0
駿跑得(K208),1,6,1,18.6,16.7
駿奕快車(J188),1,11,3,7.6,9.1
怪獸豪俠(G282),1,3,1,8.4,33.3
怡昌精神(H379),1,11,5,13.0,9.1
怡昌光輝(K074),1,2,1,2.4,50.0
快靚旺(K027),1,4,1,5.1,25.0
龍騰飛翔(E360),0,8,2,20.7,0.0
一石二鳥(J374),0,8,0,69.0,0.0
一風雲(K336),0,1,0,90.0,0.0
一鹿歡騰(J002),0,4,3,37.8,0.0
七彩雲珠(J433),0,4,0,59.0,0.0
三叉戟(K420),0,1,0,28.0,0.0
三強(K229),0,6,0,144.5,0.0
三才鬥士(K083),0,3,0,44.0,0.0
三生福佑(J310),0,4,0,108.8,0.0
上駿奔騰(J018),0,2,0,103.5,0.0
不假外求(J493),0,12,0,131.1,0.0
鼓浪高升(J479),0,9,2,14.6,0.0
齊歡最樂(J182),0,14,1,37.3,0.0
世澤歆星(E168),0,1,0,16.0,0.0
不羈(K495),0,1,0,7.9,0.0
不戰而勝(K921),0,1,0,5.9,0.0
魅力知福(K038),0,6,2,11.1,0.0
魅力星(K052),0,8,1,35.4,0.0
魅力心(K053),0,7,0,84.1,0.0
魅力寶駒(G213),0,21,5,19.6,0.0
魅力一心(H195),0,3,0,16.3,0.0
鬥志波(K096),0,5,0,60.6,0.0
鬆啲(K384),0,1,0,112.0,0.0
高氣派(H315),0,5,1,23.2,0.0
高明力量(H353),0,5,1,24.7,0.0
高感(J515),0,7,2,39.3,0.0
高將軍(H330),0,2,0,200.0,0.0
高份數(G413),0,3,0,24.0,0.0
驥跑得(K206),0,3,0,83.7,0.0
拉合爾(K043),0,4,2,17.4,0.0
投資有利(G025),0,3,0,8.5,0.0
承夆冠駒(H318),0,2,0,139.5,0.0
手機錶鑽(J450),0,1,0,40.0,0.0
手機錶勝(J415),0,4,0,100.2,0.0
手到再來(H429),0,12,0,18.5,0.0
戰鬥英雄(D050),0,2,0,21.0,0.0
戰騎飛(J294),0,10,0,152.6,0.0
戰寶(K257),0,5,0,45.8,0.0
我為您(H036),0,5,2,32.6,0.0
慶萬家(G029),0,7,2,18.9,0.0
愛國者(K170),0,2,0,92.5,0.0
悠悠我心(H245),0,1,0,77.0,0.0
悠悠乾坤(K059),0,10,0,94.1,0.0
悟空(K492),0,1,0,112.0,0.0
恒之有道(K158),0,4,0,15.1,0.0
新強福盈(J063),0,1,1,3.1,0.0
新力驕(J223),0,6,1,41.3,0.0
新力飆(K177),0,2,0,99.5,0.0
新力超升(K188),0,3,0,78.3,0.0
文武全能(K402),0,1,0,38.0,0.0
整蠱專家(J268),0,12,1,47.3,0.0
攻頂(E221),0,10,2,42.2,0.0
摯誠推介(K908),0,1,0,148.0,0.0
摯友心得(K263),0,2,0,22.5,0.0
摩界(H445),0,8,0,63.0,0.0
摘星聲升(K390),0,2,0,113.5,0.0
揚威四方(G026),0,4,0,27.2,0.0
捷足奔馳(J524),0,6,1,63.6,0.0
挺秀騰飛(J108),0,11,1,62.6,0.0
拚搏(K024),0,6,0,109.0,0.0
拍馬難追(E234),0,11,1,52.7,0.0
快步流星(J274),0,5,0,63.4,0.0
