name,canonical_name,tier,base_score,confidence,source,notes
Joe Pride,Joe Pride,T2,66,analyst_profile,07b_trainer_signals.md,
John O'Shea,John O'Shea,T2,66,analyst_profile,07b_trainer_signals.md,
John O'Shea & Tom Charlton,John O'Shea,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of John O'Shea
John Sargent,John Sargent,T2,64,provisional,archive supplement,Regular NSW metro trainer
John Thompson,John Thompson,T2,65,provisional,archive supplement,Regular NSW metro trainer
Joseph Pride,Joe Pride,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of Joe Pride
Kris Lees,Kris Lees,T2,66,analyst_profile,07b_trainer_signals.md,
Leon & Troy Corstens & Will Larkin,Leon & Troy Corstens & Will Larkin,T2,64,provisional,archive supplement,Regular VIC metro trainer
Mark Newnham,Mark Newnham,T2,66,analyst_profile,07b_trainer_signals.md,
Matt Laurie,Matt Laurie,T2,64,provisional,archive supplement,Regular VIC metro trainer
Matthew Smith,Matthew Smith,T2,65,provisional,archive supplement,Regular NSW metro trainer
Michael Freedman,Michael Freedman,T2,66,provisional,archive supplement,Regular NSW metro trainer
"Michael, John & Wayne Hawkes",Hawkes Racing,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of Hawkes Racing
Mick Price & Michael Kent (Jnr),Mick Price & Michael Kent Jr,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of Mick Price & Michael Kent Jr
Mick Price & Michael Kent Jnr,Mick Price & Michael Kent Jr,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of Mick Price & Michael Kent Jr
Mick Price & Michael Kent Jr,Mick Price & Michael Kent Jr,T2,66,analyst_profile,07b_trainer_signals.md,
Nick Ryan,Nick Ryan,T2,64,provisional,archive supplement,Regular VIC metro trainer
Peter G Moody & Katherine Coleman,Peter G Moody & Katherine Coleman,T2,66,provisional,archive supplement,Established VIC metro barn
Phillip Stokes,Phillip Stokes,T2,65,provisional,archive supplement,Regular VIC/SA metro trainer
Richard & Will Freedman,Richard & Will Freedman,T2,64,provisional,archive supplement,Regular NSW metro trainer
Tom Charlton,John O'Shea,T2,66,analyst_profile,07b_trainer_signals.md + alias,Alias of John O'Shea
Tony & Calvin McEvoy,Tony & Calvin McEvoy,T2,66,provisional,archive supplement,Regular VIC/SA metro trainer
Trent Busuttin & Natalie Young,Trent Busuttin & Natalie Young,T2,64,provisional,archive supplement,Regular VIC metro trainer
Wendy Roche,Wendy Roche,T2,66,analyst_profile,07b_trainer_signals.md,
Brad Widdup,Brad Widdup,T3,61,provisional,archive supplement,Secondary NSW metro trainer
Danny Williams,Danny Williams,T3,61,provisional,archive supplement,Secondary NSW trainer
Dominic Sutton,Dominic Sutton,T3,61,provisional,archive supplement,Developing trainer
Gary Portelli,Gary Portelli,T3,61,provisional,archive supplement,Secondary NSW metro trainer
Gavin Bedggood,Gavin Bedggood,T3,61,provisional,archive supplement,Secondary VIC metro trainer
Greg Eurell,Greg Eurell,T3,61,provisional,archive supplement,Secondary VIC metro trainer
Kerry Parker,Kerry Parker,T3,61,provisional,archive supplement,Secondary NSW metro trainer
Mark Walker,Mark Walker,T3,61,provisional,archive supplement,Visiting / mixed metro trainer
Matthew Dale,Matthew Dale,T3,61,provisional,archive supplement,Secondary NSW metro trainer
Nathan Doyle,Nathan Doyle,T3,61,provisional,archive supplement,Developing metro trainer
Richard Litt,Richard Litt,T3,61,provisional,archive supplement,Secondary NSW metro trainer
Robbie Griffiths,Robbie Griffiths,T3,61,provisional,archive supplement,Secondary VIC metro trainer
