HorseID,Horse,RunStyle,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
H219,快路(H219),Midpack,2,8,3,8.8,25.0,37.5
H235,幸運星球(H235),Frontrunner,2,8,3,12.22,25.0,37.5
H248,帝豪歡星(H248),Frontrunner,2,8,4,10.1,25.0,50.0
H389,愛心神駒(H389),Closer,2,8,4,9.94,25.0,50.0
H454,良駒好友(H454),Frontrunner,2,8,2,16.5,25.0,25.0
H476,錶之多多(H476),Frontrunner,2,8,4,6.48,25.0,50.0
J136,精英雄心(J136),Closer,2,8,6,7.2,25.0,75.0
J186,星際快車(J186),Frontrunner,2,8,5,11.08,25.0,62.5
J231,卓越蒨鋒(J231),Closer,2,8,4,20.06,25.0,50.0
J266,香港神駒(J266),Closer,2,8,4,23.14,25.0,50.0
J488,北地烈馬(J488),Frontrunner,2,8,4,16.3,25.0,50.0
E194,符號(E194),Frontrunner,1,8,2,20.29,12.5,25.0
E379,中華盛景(E379),Midpack,1,8,1,24.88,12.5,12.5
G016,鈁糖武士(G016),Closer,1,8,2,26.91,12.5,25.0
G138,三江飛輪(G138),Closer,1,8,1,33.12,12.5,12.5
G204,運高八斗(G204),Midpack,1,8,4,10.19,12.5,50.0
G427,閃耀威龍(G427),Frontrunner,1,8,3,13.64,12.5,37.5
G465,博愛先鋒(G465),Closer,1,8,3,13.78,12.5,37.5
H065,三代同心(H065),Midpack,1,8,4,13.59,12.5,50.0
H092,八駿巨昇(H092),Frontrunner,1,8,2,25.34,12.5,25.0
H111,論文(H111),Closer,1,8,2,16.29,12.5,25.0
H117,飛鷹翱翔(H117),Frontrunner,1,8,4,10.6,12.5,50.0
H173,焦點(H173),Closer,1,8,3,13.82,12.5,37.5
H244,陽光勇士(H244),Closer,1,8,4,12.1,12.5,50.0
H377,無限美麗(H377),Midpack,1,8,3,9.82,12.5,37.5
H461,金勝名駒(H461),Closer,1,8,2,38.14,12.5,25.0
H481,勁好運(H481),Midpack,1,8,5,3.69,12.5,62.5
H485,手機錶霸(H485),Midpack,1,8,4,5.41,12.5,50.0
H489,星運皇爵(H489),Closer,1,8,3,11.34,12.5,37.5
J080,川河型駒(J080),Midpack,1,8,2,7.56,12.5,25.0
J139,紫荊歡呼(J139),Closer,1,8,2,15.95,12.5,25.0
J139,紫荊歡呼(J139),Midpack,1,8,3,9.22,12.5,37.5
J153,運來伍寶(J153),Closer,1,8,1,31.28,12.5,12.5
J171,陽光寶貝(J171),Frontrunner,1,8,2,35.94,12.5,25.0
J216,生生勝利(J216),Frontrunner,1,8,2,18.96,12.5,25.0
J225,一定掂(J225),Closer,1,8,3,9.84,12.5,37.5
J261,囍眼光(J261),Closer,1,8,2,8.16,12.5,25.0
J359,天下寵兒(J359),Frontrunner,1,8,5,10.49,12.5,62.5
J392,始終如一(J392),Closer,1,8,1,76.75,12.5,12.5
J420,但求開心(J420),Closer,1,8,5,8.43,12.5,62.5
J447,彭玥(J447),Midpack,1,8,4,13.05,12.5,50.0
K081,同心同樂(K081),Frontrunner,1,8,3,18.91,12.5,37.5
K094,新意馬(K094),Frontrunner,1,8,3,9.74,12.5,37.5
E392,狀元及第(E392),Frontrunner,0,8,2,23.05,0.0,25.0
E488,桃花多(E488),Closer,0,8,0,27.62,0.0,0.0
G072,喜悅一生(G072),Midpack,0,8,2,12.22,0.0,25.0
G103,多巴先生(G103),Closer,0,8,0,42.0,0.0,0.0
G171,發財先鋒(G171),Midpack,0,8,0,46.38,0.0,0.0
G173,增有(G173),Closer,0,8,2,54.25,0.0,25.0
G272,競駿天下(G272),Closer,0,8,1,22.81,0.0,12.5
G326,黃腳鱲(G326),Midpack,0,8,1,22.5,0.0,12.5
H046,天分高(H046),Frontrunner,0,8,5,8.68,0.0,62.5
H047,馬主雄風(H047),Closer,0,8,1,22.46,0.0,12.5
H055,勝神威(H055),Closer,0,8,1,15.49,0.0,12.5
H069,超霸勝(H069),Midpack,0,8,3,13.16,0.0,37.5
H123,特別美麗(H123),Closer,0,8,0,13.84,0.0,0.0
H139,桃花雲(H139),Closer,0,8,0,52.62,0.0,0.0
H180,駿先生(H180),Closer,0,8,1,47.25,0.0,12.5
H197,智勝攻略(H197),Closer,0,8,3,17.71,0.0,37.5
H223,四季醒(H223),Closer,0,8,0,57.5,0.0,0.0
H234,大利好運(H234),Closer,0,8,3,7.32,0.0,37.5
H290,魔法速遞(H290),Closer,0,8,4,6.52,0.0,50.0
H332,極速之子(H332),Closer,0,8,0,21.55,0.0,0.0
H388,風火恆雲(H388),Closer,0,8,1,10.86,0.0,12.5
H409,凱旋幸運(H409),Midpack,0,8,4,10.78,0.0,50.0
H447,富裕君子(H447),Closer,0,8,2,29.75,0.0,25.0
J015,堅闖(J015),Closer,0,8,2,31.86,0.0,25.0
J039,穿甲戰鷹(J039),Closer,0,8,4,8.86,0.0,50.0
J042,中環精英(J042),Midpack,0,8,0,8.01,0.0,0.0
J086,旋風飛颺(J086),Closer,0,8,2,9.2,0.0,25.0
J112,英雄本色(J112),Closer,0,8,0,118.75,0.0,0.0
J149,八正道(J149),Midpack,0,8,1,17.23,0.0,12.5
J162,神駒馬靈(J162),Frontrunner,0,8,2,5.14,0.0,25.0
J179,有心意(J179),Closer,0,8,2,25.54,0.0,25.0
J193,華美之威(J193),Frontrunner,0,8,2,18.16,0.0,25.0
J195,競駿輝煌(J195),Midpack,0,8,3,6.86,0.0,37.5
J237,勇霸龍(J237),Closer,0,8,4,14.74,0.0,50.0
J269,龍又生(J269),Closer,0,8,0,91.75,0.0,0.0
J290,東來欣賞(J290),Midpack,0,8,2,9.25,0.0,25.0
J294,戰騎飛(J294),Closer,0,8,0,155.5,0.0,0.0
J337,幸運震撼(J337),Closer,0,8,0,15.54,0.0,0.0
J464,長勝威龍(J464),Closer,0,8,0,118.12,0.0,0.0
J535,劍無情(J535),Closer,0,8,0,105.5,0.0,0.0
K084,翠兒威威(K084),Closer,0,8,0,59.12,0.0,0.0
K155,爆出美麗(K155),Closer,0,8,1,15.51,0.0,12.5
J062,嘉應高昇(J062),Frontrunner,7,7,7,1.3,100.0,100.0
G223,艾莉奧(G223),Frontrunner,3,7,4,29.99,42.86,57.14
H122,飛輪步(H122),Frontrunner,3,7,3,32.0,42.86,42.86
H197,智勝攻略(H197),Midpack,3,7,6,11.77,42.86,85.71
J143,日馳千里(J143),Frontrunner,3,7,4,12.43,42.86,57.14
H057,有你有我(H057),Frontrunner,2,7,3,19.07,28.57,42.86
H177,勇冠群英(H177),Frontrunner,2,7,5,9.26,28.57,71.43
J135,寶成智星(J135),Frontrunner,2,7,4,23.8,28.57,57.14
J237,勇霸龍(J237),Midpack,2,7,3,6.44,28.57,42.86
J390,共享富裕(J390),Closer,2,7,3,4.7,28.57,42.86
J413,環球英雄(J413),Frontrunner,2,7,3,16.14,28.57,42.86
K098,火焰閃爍(K098),Closer,2,7,4,12.66,28.57,57.14
D087,紅鬃烈馬(D087),Frontrunner,1,7,2,19.16,14.29,28.57
G372,星雲浩騰(G372),Closer,1,7,4,14.21,14.29,57.14
G395,喜勝威龍(G395),Frontrunner,1,7,4,9.54,14.29,57.14
H159,金運來(H159),Frontrunner,1,7,2,33.11,14.29,28.57
H202,神煞金剛(H202),Closer,1,7,2,15.89,14.29,28.57
H265,博望坡(H265),Closer,1,7,1,17.86,14.29,14.29
H291,可愛新星(H291),Closer,1,7,2,17.39,14.29,28.57
H294,美麗第一(H294),Midpack,1,7,3,27.07,14.29,42.86
H325,新力(H325),Frontrunner,1,7,5,7.43,14.29,71.43
H410,龍之輝(H410),Frontrunner,1,7,3,12.69,14.29,42.86
H464,機械騎士(H464),Frontrunner,1,7,2,10.26,14.29,28.57
H471,永勝金駒(H471),Midpack,1,7,3,8.13,14.29,42.86
H483,手錶之星(H483),Frontrunner,1,7,1,9.49,14.29,14.29
J008,華麗再勝(J008),Midpack,1,7,4,12.89,14.29,57.14
J027,風雲武士(J027),Midpack,1,7,5,5.64,14.29,71.43
J040,極速贏(J040),Closer,1,7,3,7.27,14.29,42.86
J056,隼閣(J056),Midpack,1,7,1,15.49,14.29,14.29
J066,晨曦儷人(J066),Midpack,1,7,3,11.21,14.29,42.86
J074,大將(J074),Midpack,1,7,2,4.83,14.29,28.57
J183,風起雲湧(J183),Frontrunner,1,7,2,15.29,14.29,28.57
J187,朗日雪峰(J187),Frontrunner,1,7,3,9.11,14.29,42.86
J194,超旺財(J194),Midpack,1,7,3,6.9,14.29,42.86
J242,亞福得寶(J242),Closer,1,7,1,37.53,14.29,14.29
J360,三軍勇將(J360),Closer,1,7,1,29.37,14.29,14.29
J421,仁仁有餘(J421),Closer,1,7,3,11.29,14.29,42.86
J437,耀寶(J437),Closer,1,7,2,20.34,14.29,28.57
K093,星價(K093),Midpack,1,7,4,15.99,14.29,57.14
K154,關鍵所在(K154),Midpack,1,7,1,42.04,14.29,14.29
D241,香港精神(D241),Closer,0,7,1,20.41,0.0,14.29
E028,赤馬雄風(E028),Frontrunner,0,7,1,20.66,0.0,14.29
E175,天火同人(E175),Midpack,0,7,0,42.14,0.0,0.0
E281,前風(E281),Midpack,0,7,2,13.07,0.0,28.57
E385,幸運旅程(E385),Midpack,0,7,2,27.86,0.0,28.57
G033,越駿知己(G033),Closer,0,7,1,17.63,0.0,14.29
G071,燊榮之星(G071),Closer,0,7,0,31.57,0.0,0.0
G126,領航傳祺(G126),Closer,0,7,2,16.79,0.0,28.57
G223,艾莉奧(G223),Midpack,0,7,0,31.71,0.0,0.0
G333,川河首駒(G333),Midpack,0,7,1,33.83,0.0,14.29
G335,巴閉哥(G335),Frontrunner,0,7,1,22.34,0.0,14.29
G364,超勁寶寶(G364),Frontrunner,0,7,1,14.21,0.0,14.29
G452,旗幟鬥士(G452),Closer,0,7,0,18.81,0.0,0.0
H007,雅典武士(H007),Frontrunner,0,7,1,13.96,0.0,14.29
H011,型到爆(H011),Closer,0,7,0,22.56,0.0,0.0
H034,皮具大師(H034),Midpack,0,7,2,11.34,0.0,28.57
H041,時尚歡欣(H041),Frontrunner,0,7,2,20.67,0.0,28.57
H092,八駿巨昇(H092),Midpack,0,7,1,15.36,0.0,14.29
H106,金德義(H106),Closer,0,7,1,19.14,0.0,14.29
H113,亞機拉(H113),Frontrunner,0,7,0,34.49,0.0,0.0
H133,精英至尊(H133),Closer,0,7,0,21.0,0.0,0.0
H137,包裝旋風(H137),Frontrunner,0,7,0,27.71,0.0,0.0
H144,快馬加鞭(H144),Midpack,0,7,2,8.99,0.0,28.57
H169,嘉應威風(H169),Closer,0,7,1,24.71,0.0,14.29
H170,光年八十(H170),Frontrunner,0,7,1,54.43,0.0,14.29
H193,神速馬車(H193),Closer,0,7,1,17.43,0.0,14.29
H206,小神仙(H206),Closer,0,7,0,33.01,0.0,0.0
H212,禪勝輝煌(H212),Midpack,0,7,2,11.33,0.0,28.57
H216,鈦易搵(H216),Closer,0,7,2,13.53,0.0,28.57
H293,開心三多(H293),Closer,0,7,0,35.29,0.0,0.0
H297,快樂奇兵(H297),Midpack,0,7,3,12.34,0.0,42.86
H334,同樣美麗(H334),Closer,0,7,2,17.29,0.0,28.57
H334,同樣美麗(H334),Midpack,0,7,3,8.23,0.0,42.86
H356,電玩精英(H356),Closer,0,7,1,36.14,0.0,14.29
H433,鐵金剛(H433),Midpack,0,7,2,5.84,0.0,28.57
J005,凱旋七福(J005),Closer,0,7,1,29.89,0.0,14.29
J019,同得威(J019),Closer,0,7,0,61.14,0.0,0.0
J098,先到先得(J098),Closer,0,7,1,13.61,0.0,14.29
J099,五福星(J099),Midpack,0,7,4,7.96,0.0,57.14
J105,客家之光(J105),Frontrunner,0,7,3,6.3,0.0,42.86
J169,無極勇將(J169),Closer,0,7,1,27.43,0.0,14.29
J170,明亮天下(J170),Closer,0,7,0,34.7,0.0,0.0
J191,富貴駒(J191),Closer,0,7,0,111.14,0.0,0.0
J217,鼓浪好友(J217),Frontrunner,0,7,1,10.47,0.0,14.29
J273,準輝煌(J273),Closer,0,7,5,7.59,0.0,71.43
J312,多彩多姿(J312),Frontrunner,0,7,4,16.16,0.0,57.14
J321,神馳(J321),Midpack,0,7,3,3.71,0.0,42.86
J322,閃亮老撾(J322),Closer,0,7,0,45.0,0.0,0.0
J323,鴻圖新星(J323),Closer,0,7,0,19.61,0.0,0.0
J345,喆喆友福(J345),Midpack,0,7,2,42.76,0.0,28.57
J348,觀天下(J348),Closer,0,7,0,43.4,0.0,0.0
J385,威德勇士(J385),Closer,0,7,0,164.86,0.0,0.0
J403,同喜(J403),Frontrunner,0,7,1,23.99,0.0,14.29
J436,競馬一心(J436),Midpack,0,7,3,25.71,0.0,42.86
J446,將義(J446),Midpack,0,7,2,14.64,0.0,28.57
J493,不假外求(J493),Closer,0,7,0,151.43,0.0,0.0
K002,金創福威(K002),Closer,0,7,1,29.01,0.0,14.29
K007,泰泰精神(K007),Closer,0,7,2,9.3,0.0,28.57
K089,猛將兄(K089),Closer,0,7,0,47.57,0.0,0.0
K108,心裡有數(K108),Closer,0,7,1,22.7,0.0,14.29
K198,建測精英(K198),Closer,0,7,0,110.43,0.0,0.0
H418,加州動員(H418),Frontrunner,4,6,4,9.18,66.67,66.67
J256,祝願(J256),Frontrunner,4,6,6,3.83,66.67,100.0
J276,納百川(J276),Closer,3,6,4,7.25,50.0,66.67
J391,嘉應奇兵(J391),Frontrunner,3,6,4,9.77,50.0,66.67
G400,同滿滿(G400),Midpack,2,6,3,5.78,33.33,50.0
G420,逐步贏(G420),Closer,2,6,2,14.93,33.33,33.33
G448,知足常樂(G448),Frontrunner,2,6,2,30.0,33.33,33.33
H127,營造組裝(H127),Frontrunner,2,6,2,19.43,33.33,33.33
H241,紅逸舍(H241),Midpack,2,6,2,10.87,33.33,33.33
H262,喜至寶(H262),Closer,2,6,2,9.67,33.33,33.33
H364,非凡達(H364),Midpack,2,6,4,9.05,33.33,66.67
H368,精算暴雪(H368),Closer,2,6,4,5.67,33.33,66.67
H395,駿步騰飛(H395),Midpack,2,6,3,5.2,33.33,50.0
H440,椒椒醒(H440),Midpack,2,6,4,4.48,33.33,66.67
J114,增強(J114),Closer,2,6,3,4.78,33.33,50.0
J197,大浪圖田(J197),Midpack,2,6,3,13.37,33.33,50.0
J239,勁先生(J239),Closer,2,6,4,6.03,33.33,66.67
J279,皇龍飛將(J279),Midpack,2,6,2,7.6,33.33,33.33
J303,得道猴王(J303),Frontrunner,2,6,4,12.22,33.33,66.67
J317,騰龍四海(J317),Midpack,2,6,4,5.03,33.33,66.67
J325,真心傳奇(J325),Closer,2,6,4,4.37,33.33,66.67
J357,錶之宇宙(J357),Closer,2,6,2,8.25,33.33,33.33
J418,帥帥友福(J418),Frontrunner,2,6,3,15.12,33.33,50.0
K002,金創福威(K002),Midpack,2,6,3,15.02,33.33,50.0
C531,人和家盛(C531),Closer,1,6,1,46.67,16.67,16.67
E294,天天得樂(E294),Closer,1,6,2,18.67,16.67,33.33
E301,電源之駒(E301),Frontrunner,1,6,2,46.2,16.67,33.33
G125,得意佳作(G125),Midpack,1,6,2,17.33,16.67,33.33
G272,競駿天下(G272),Midpack,1,6,3,17.23,16.67,50.0
G301,豐盛多彩(G301),Midpack,1,6,2,13.57,16.67,33.33
G306,瑪瑙(G306),Frontrunner,1,6,1,45.17,16.67,16.67
G435,直線力山(G435),Closer,1,6,1,36.33,16.67,16.67
G466,獨角獸(G466),Closer,1,6,2,13.17,16.67,33.33
G476,浪漫老撾(G476),Midpack,1,6,1,15.58,16.67,16.67
H044,瑰麗人生(H044),Midpack,1,6,1,20.3,16.67,16.67
H068,妙玲瓏(H068),Midpack,1,6,1,23.63,16.67,16.67
H108,伶俐驫駒(H108),Frontrunner,1,6,3,8.35,16.67,50.0
H178,南區旺(H178),Midpack,1,6,4,9.92,16.67,66.67
H215,喜蓮勇感(H215),Closer,1,6,2,21.08,16.67,33.33
H229,運來勇士(H229),Midpack,1,6,1,14.0,16.67,16.67
H253,馬特峰(H253),Midpack,1,6,2,12.95,16.67,33.33
H283,日日獎(H283),Closer,1,6,1,37.5,16.67,16.67
H302,驕陽明駒(H302),Closer,1,6,6,15.08,16.67,100.0
H339,瀧澤飛駒(H339),Midpack,1,6,3,6.47,16.67,50.0
H343,海藍寶(H343),Frontrunner,1,6,2,10.17,16.67,33.33
H354,精算特殊(H354),Closer,1,6,2,13.28,16.67,33.33
H376,英駿飛駒(H376),Midpack,1,6,2,6.62,16.67,33.33
H381,我做到(H381),Midpack,1,6,2,9.0,16.67,33.33
H394,糖不甩(H394),Midpack,1,6,4,22.32,16.67,66.67
H396,家樂龍駒(H396),Closer,1,6,2,8.22,16.67,33.33
H399,錶之銀河(H399),Closer,1,6,4,3.65,16.67,66.67
H407,勝多多(H407),Midpack,1,6,4,8.42,16.67,66.67
H412,球星(H412),Closer,1,6,3,12.43,16.67,50.0
H418,加州動員(H418),Midpack,1,6,3,8.67,16.67,50.0
H419,威威父子(H419),Closer,1,6,1,55.17,16.67,16.67
H431,盈益善(H431),Closer,1,6,4,11.87,16.67,66.67
H438,定數(H438),Closer,1,6,3,21.0,16.67,50.0
H470,金駿星(H470),Closer,1,6,1,13.32,16.67,16.67
H474,智取神駒(H474),Midpack,1,6,2,25.45,16.67,33.33
J008,華麗再勝(J008),Closer,1,6,2,15.83,16.67,33.33
J015,堅闖(J015),Midpack,1,6,5,5.83,16.67,83.33
J065,常常感恩(J065),Midpack,1,6,2,20.98,16.67,33.33
